What is your age?,What is your favorite coffee drink?,What kind of dairy do you add?,What kind of sugar or sweetener do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,Gender,Gender (please specify),Education Level,Ethnicity/Race,Ethnicity/Race (please specify),Employment Status,Number of Children,Political Affiliation
35-44 years old,Pourover,,,Bright,Somewhat strong,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,1,Democrat
25-34 years old,Americano,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,None,
25-34 years old,Espresso,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Doctorate or professional degree,Hispanic/Latino,,Homemaker,1,No affiliation
25-34 years old,Pourover,,,Fruity,Somewhat light,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cortado,"Whole milk, Skim milk",,Nutty,Medium,Medium,Full caffeine,Female,,,,,Employed full-time,None,
35-44 years old,Latte,,,Bright,Medium,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,Democrat
25-34 years old,Mocha,Oat milk,,Fruity,Somewhat light,Light,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
35-44 years old,Latte,Half and half,"Artificial Sweeteners (e.g., Splenda)",Full Bodied,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,3,Democrat
35-44 years old,Blended drink (e.g. Frappuccino),"Oat milk, Almond milk",,Caramalized,Medium,Blonde,Full caffeine,Female,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Caramalized,Somewhat strong,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Homemaker,2,Democrat
25-34 years old,Cortado,,,Fruity,Somewhat strong,Medium,Full caffeine,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Espresso,,,Chocolatey,Somewhat strong,Light,Full caffeine,Male,,Master's degree,Other (please specify),South Asian (Indian subcontinent),Employed full-time,2,Independent
35-44 years old,Espresso,,,Sweet,Medium,Light,Full caffeine,,,,,,,,
35-44 years old,Latte,"Whole milk, Half and half",,Sweet,Very strong,Medium,Full caffeine,Female,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,
25-34 years old,Pourover,,,Fruity,Somewhat light,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Regular drip coffee,,,Sweet,Somewhat light,Light,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
18-24 years old,Cappuccino,,,Chocolatey,Somewhat strong,Light,Full caffeine,Non-binary,,Some college or associate's degree,Hispanic/Latino,,Employed part-time,None,Democrat
25-34 years old,Cold brew,,,Full Bodied,Very strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Espresso,,,Fruity,Medium,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Regular drip coffee,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Republican
35-44 years old,Americano,,,Caramalized,Weak,Medium,Half caff,Female,,Master's degree,White/Caucasian,,Employed full-time,1,Democrat
18-24 years old,Cappuccino,Coffee creamer,,Bold,Medium,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Student,None,Independent
25-34 years old,Regular drip coffee,,,Full Bodied,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
55-64 years old,Pourover,,,Full Bodied,Somewhat light,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Retired,None,
18-24 years old,Latte,Whole milk,Raw Sugar (Turbinado),Sweet,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Pourover,,,Caramalized,Very strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Americano,,,Bright,Medium,Nordic,Full caffeine,,,,,,,,
25-34 years old,Latte,Oat milk,,Bold,Somewhat strong,Dark,Full caffeine,,,,,,,,
25-34 years old,Regular drip coffee,,,Full Bodied,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cortado,,,Fruity,Medium,Medium,Half caff,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cappuccino,Whole milk,Granulated Sugar,Caramalized,Medium,Medium,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Latte,,,Fruity,Somewhat light,Light,Full caffeine,Female,,Some college or associate's degree,Hispanic/Latino,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Floral,Somewhat strong,Light,Half caff,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Pourover,,,Bright,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Student,None,Independent
25-34 years old,Espresso,,,Bright,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
18-24 years old,Blended drink (e.g. Frappuccino),,,Sweet,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Student,None,Republican
25-34 years old,Pourover,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Regular drip coffee,,,Chocolatey,Very strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Cortado,Whole milk,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
35-44 years old,Iced coffee,Half and half,,Chocolatey,Very strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Unemployed,1,Democrat
18-24 years old,Pourover,,,Bright,Somewhat strong,Nordic,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Unemployed,None,Independent
25-34 years old,Cappuccino,,,Fruity,Somewhat light,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Bright,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,No affiliation
45-54 years old,Americano,,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,No affiliation
45-54 years old,Latte,Whole milk,,Bright,Very strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed part-time,2,Democrat
25-34 years old,Pourover,,,Floral,Somewhat strong,Light,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
55-64 years old,Latte,,,Nutty,Medium,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Homemaker,2,No affiliation
25-34 years old,Pourover,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Student,None,No affiliation
55-64 years old,Espresso,,,Bright,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Espresso,,,Fruity,Very strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat
35-44 years old,Regular drip coffee,Skim milk,,Full Bodied,Medium,Light,Half caff,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Regular drip coffee,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Student,None,Democrat
18-24 years old,Latte,"Whole milk, Skim milk",,Fruity,Somewhat light,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Espresso,,,Fruity,Very strong,Light,Full caffeine,Female,,Master's degree,White/Caucasian,,Student,None,Democrat
55-64 years old,Espresso,,,Bold,Medium,Medium,Full caffeine,Female,,Doctorate or professional degree,White/Caucasian,,Employed part-time,2,No affiliation
35-44 years old,Regular drip coffee,,,Sweet,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat
18-24 years old,Cold brew,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Student,None,Republican
18-24 years old,Cappuccino,,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,
25-34 years old,Cold brew,,,Fruity,Medium,Light,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
18-24 years old,Cortado,"Half and half, Whole milk",,Caramalized,Somewhat strong,Medium,Full caffeine,Male,,High school graduate,White/Caucasian,,Employed full-time,None,Independent
18-24 years old,Latte,Whole milk,,Caramalized,Medium,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Pourover,Coffee creamer,,Caramalized,Somewhat light,Light,Full caffeine,Female,,High school graduate,Black/African American,,Employed full-time,None,No affiliation
25-34 years old,Pourover,,,Sweet,Somewhat strong,Medium,Full caffeine,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Cortado,,,Caramalized,Somewhat strong,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Cortado,Whole milk,,Fruity,Medium,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Latte,Whole milk,Maple Syrup,Chocolatey,Somewhat strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed part-time,2,Independent
35-44 years old,Espresso,Half and half,"Raw Sugar (Turbinado), Granulated Sugar",Chocolatey,Medium,Medium,Full caffeine,Male,,Some college or associate's degree,Black/African American,,Employed full-time,None,Independent
35-44 years old,Americano,,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,More than 3,No affiliation
35-44 years old,Cappuccino,Whole milk,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Juicy,Somewhat light,Light,Full caffeine,Male,,,,,,,
25-34 years old,Espresso,,,Juicy,Very strong,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,No affiliation
25-34 years old,Latte,Oat milk,,Fruity,Medium,Light,Full caffeine,Non-binary,,Master's degree,White/Caucasian,,Student,None,Democrat
18-24 years old,Cortado,,,Nutty,Somewhat strong,Medium,Full caffeine,,,,,,,,
25-34 years old,Cappuccino,Oat milk,,Nutty,Somewhat strong,Medium,Full caffeine,Female,,Bachelor's degree,Other (please specify),Hispanic/Asian,Employed full-time,None,No affiliation
25-34 years old,Pourover,,,Fruity,Very strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,No affiliation
25-34 years old,Espresso,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Iced coffee,Flavored coffee creamer,,Caramalized,Somewhat strong,Dark,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Homemaker,2,Democrat
18-24 years old,Pourover,,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed part-time,None,Democrat
25-34 years old,Pourover,,,Juicy,Medium,Nordic,Full caffeine,Other (please specify),working on this one,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Latte,Half and half,,Fruity,Medium,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Student,None,Democrat
25-34 years old,Espresso,,,Floral,Somewhat strong,Light,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Americano,Flavored coffee creamer,,Chocolatey,Very strong,Light,Full caffeine,Female,,Some college or associate's degree,Asian/Pacific Islander,,,None,
18-24 years old,Latte,Oat milk,,Caramalized,Medium,Medium,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Student,None,Republican
25-34 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,2,No affiliation
18-24 years old,Espresso,Whole milk,,Caramalized,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Student,None,Independent
35-44 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,,,,,,,,
35-44 years old,Cortado,,,Bold,Somewhat strong,Dark,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Employed part-time,None,Democrat
25-34 years old,Espresso,"Whole milk, Half and half",,Fruity,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
18-24 years old,Cappuccino,Whole milk,,Juicy,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Americano,,,Sweet,Medium,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Latte,Whole milk,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
55-64 years old,Blended drink (e.g. Frappuccino),Skim milk,Brown Sugar,Chocolatey,Very strong,Dark,Full caffeine,Female,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Latte,Flavored coffee creamer,,Chocolatey,Very strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cappuccino,"Whole milk, Skim milk, Half and half",,Chocolatey,Somewhat strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Americano,Half and half,"Artificial Sweeteners (e.g., Splenda)",Fruity,Somewhat light,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Independent
35-44 years old,Pourover,,,Bright,Somewhat strong,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,No affiliation
18-24 years old,Cappuccino,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
35-44 years old,Cappuccino,Soy milk,"Artificial Sweeteners (e.g., Splenda)",Fruity,Very strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,No affiliation
18-24 years old,Cortado,Whole milk,,Floral,Medium,Light,Full caffeine,Female,,Bachelor's degree,Black/African American,,Employed full-time,None,No affiliation
45-54 years old,Latte,Skim milk,,Fruity,Somewhat strong,Light,Full caffeine,Female,,Doctorate or professional degree,,,Employed full-time,,
25-34 years old,Regular drip coffee,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,1,No affiliation
18-24 years old,Latte,Whole milk,,Sweet,Medium,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Student,None,Democrat
35-44 years old,Pourover,,,Bright,Very strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Espresso,,,Fruity,Very strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,1,Independent
25-34 years old,Pourover,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Fruity,Very strong,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Unemployed,1,Independent
35-44 years old,Iced coffee,Whole milk,Granulated Sugar,Chocolatey,Somewhat strong,Blonde,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed part-time,More than 3,Independent
25-34 years old,Pourover,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Some college or associate's degree,Hispanic/Latino,,Employed full-time,None,Democrat
25-34 years old,Cappuccino,Coffee creamer,,Nutty,Medium,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
18-24 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Student,None,No affiliation
25-34 years old,Americano,,,Fruity,Medium,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Iced coffee,"Oat milk, Coffee creamer, Half and half",,Full Bodied,Medium,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
55-64 years old,Pourover,,,Sweet,Somewhat light,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,3,Republican
25-34 years old,Espresso,,,Floral,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Latte,,,Nutty,Very strong,Medium,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,2,No affiliation
35-44 years old,Latte,"Coffee creamer, Oat milk","Stevia, Artificial Sweeteners (e.g., Splenda)",Sweet,Medium,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Espresso,"Flavored coffee creamer, Coffee creamer",,Bright,Very strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Regular drip coffee,"Half and half, Coffee creamer, Flavored coffee creamer",,Caramalized,Somewhat light,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Cappuccino,,,Fruity,Medium,Nordic,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
45-54 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,
18-24 years old,Cortado,,,Full Bodied,Somewhat strong,Medium,Half caff,Male,,Some college or associate's degree,Asian/Pacific Islander,,Student,None,Independent
25-34 years old,Espresso,,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Independent
18-24 years old,Pourover,,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Pourover,,,Fruity,Very strong,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Student,None,Republican
25-34 years old,Pourover,,,Chocolatey,Medium,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Homemaker,None,No affiliation
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,None,Independent
55-64 years old,Pourover,,,Bold,Somewhat strong,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,Democrat
25-34 years old,Pourover,,,Sweet,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,
35-44 years old,Latte,,,Nutty,Somewhat light,Medium,Full caffeine,Female,,Master's degree,Other (please specify),Multiracial,Employed full-time,None,Democrat
35-44 years old,Latte,Coffee creamer,"Artificial Sweeteners (e.g., Splenda)",Caramalized,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Retired,2,Democrat
35-44 years old,Latte,Flavored coffee creamer,Granulated Sugar,Sweet,Medium,Dark,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,2,Democrat
55-64 years old,Espresso,,Granulated Sugar,Full Bodied,Somewhat strong,Dark,Full caffeine,Male,,Doctorate or professional degree,Hispanic/Latino,,Employed full-time,1,Republican
25-34 years old,Pourover,,,Juicy,Somewhat strong,Nordic,Full caffeine,Male,,Master's degree,White/Caucasian,,Student,None,Democrat
18-24 years old,Pourover,,,Bright,Somewhat strong,Light,Full caffeine,Male,,High school graduate,White/Caucasian,,Unemployed,None,No affiliation
25-34 years old,Cortado,,,Caramalized,Somewhat strong,Light,Decaf,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
35-44 years old,Latte,,,Sweet,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Latte,"Whole milk, Flavored coffee creamer",,Chocolatey,Medium,Medium,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Pourover,,"Artificial Sweeteners (e.g., Splenda)",Sweet,Somewhat strong,Dark,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,More than 3,Republican
25-34 years old,Pourover,,,Chocolatey,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Juicy,Somewhat strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Regular drip coffee,"Whole milk, Oat milk, Coffee creamer, Flavored coffee creamer",,Bold,Somewhat strong,Dark,Half caff,Non-binary,,Bachelor's degree,White/Caucasian,,Employed part-time,None,No affiliation
18-24 years old,Americano,,,Floral,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Student,None,Democrat
25-34 years old,Pourover,,,Fruity,Medium,Medium,Full caffeine,Male,,Bachelor's degree,Other (please specify),White and Asian,Employed full-time,None,Democrat
18-24 years old,Cappuccino,Whole milk,,Nutty,Medium,Medium,Full caffeine,Male,,High school graduate,White/Caucasian,,Student,None,Democrat
25-34 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,No affiliation
>65 years old,Cappuccino,Whole milk,,Bright,Somewhat strong,Medium,Full caffeine,Female,,Doctorate or professional degree,White/Caucasian,,Employed part-time,2,Democrat
25-34 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Americano,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Iced coffee,"Half and half, Flavored coffee creamer, Whole milk",,Full Bodied,Somewhat strong,Medium,Full caffeine,Non-binary,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Caramalized,Somewhat light,Light,Full caffeine,Female,,Master's degree,White/Caucasian,,Student,None,Democrat
25-34 years old,Cappuccino,,,Sweet,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Unemployed,None,Democrat
25-34 years old,Latte,"Whole milk, Half and half",Granulated Sugar,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Iced coffee,"Whole milk, Oat milk",,Caramalized,Medium,Light,Full caffeine,Male,,Some college or associate's degree,Other (please specify),White & Hispanic (Mixed),Student,None,No affiliation
25-34 years old,Pourover,Whole milk,,Caramalized,Medium,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Cappuccino,"Almond milk, Whole milk, Half and half",,Caramalized,Medium,Blonde,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Latte,Whole milk,,Nutty,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Nutty,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Other,,,Chocolatey,Very strong,Medium,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Student,None,Independent
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Republican
18-24 years old,Americano,,Granulated Sugar,Chocolatey,Very strong,Dark,Full caffeine,,,,,,,,
25-34 years old,Regular drip coffee,,,Chocolatey,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,
25-34 years old,Americano,,Raw Sugar (Turbinado),Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Unemployed,None,Democrat
25-34 years old,Pourover,,,Chocolatey,Very strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Latte,Oat milk,Maple Syrup,Caramalized,Medium,Light,Half caff,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,,,,,,,,
25-34 years old,Pourover,Oat milk,,Bright,Medium,Light,Full caffeine,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Regular drip coffee,,,Bold,Somewhat strong,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,2,Democrat
35-44 years old,Espresso,,,Fruity,Somewhat light,Light,Full caffeine,,,,,,,,
35-44 years old,Pourover,,,Fruity,Somewhat strong,Nordic,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Floral,Very strong,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Juicy,Very strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Fruity,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat
25-34 years old,Pourover,,,Fruity,Somewhat light,Light,,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Latte,,,Caramalized,Somewhat light,Blonde,Full caffeine,Female,,,,,,,
35-44 years old,Pourover,,,Bright,Medium,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Fruity,Very strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
